Ankle1,Knee1,Hip1,Hip2,Knee2,Ankle2,Wrist1,Elbow1,Shoulder1,Shoulder2,Elbow2,Wrist2,Chin,TopHead
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.22,22.35,24.49,24.74,23.26,46.48,46.46,53.54,57.58,45.36,41.84,34.34,77.08,14.58
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.22,22.35,24.49,24.74,23.26,46.48,46.46,53.54,57.58,45.36,41.84,34.34,77.08,14.58
80.56,71.76,70.41,68.04,72.09,84.51,69.7,82.83,89.9,81.44,74.49,66.67,93.75,86.46
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.56,71.76,70.41,68.04,72.09,84.51,69.7,82.83,89.9,81.44,74.49,66.67,93.75,86.46
88.89,84.71,90.82,89.69,86.05,88.73,75.76,86.87,96.97,93.81,85.71,82.83,96.88,97.92
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.89,84.71,90.82,89.69,86.05,88.73,75.76,86.87,96.97,93.81,85.71,82.83,96.88,97.92
93.06,88.24,93.88,92.78,90.7,91.55,79.8,93.94,98.99,94.85,89.8,86.87,98.96,98.96
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.06,88.24,93.88,92.78,90.7,91.55,79.8,93.94,98.99,94.85,89.8,86.87,98.96,98.96
93.06,90.59,95.92,96.91,93.02,92.96,83.84,94.95,98.99,96.91,90.82,90.91,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.06,90.59,95.92,96.91,93.02,92.96,83.84,94.95,98.99,96.91,90.82,90.91,100.0,100.0
95.83,90.59,98.98,97.94,95.35,92.96,83.84,95.96,98.99,96.91,94.9,91.92,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95.83,90.59,98.98,97.94,95.35,92.96,83.84,95.96,98.99,96.91,94.9,91.92,100.0,100.0
97.22,90.59,98.98,97.94,96.51,94.37,86.87,95.96,98.99,98.97,96.94,92.93,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.22,90.59,98.98,97.94,96.51,94.37,86.87,95.96,98.99,98.97,96.94,92.93,100.0,100.0
97.22,91.76,98.98,97.94,96.51,94.37,89.9,95.96,98.99,98.97,97.96,94.95,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.22,91.76,98.98,97.94,96.51,94.37,89.9,95.96,98.99,98.97,97.96,94.95,100.0,100.0
97.22,92.94,98.98,97.94,96.51,95.77,91.92,95.96,98.99,98.97,97.96,95.96,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.22,92.94,98.98,97.94,96.51,95.77,91.92,95.96,98.99,98.97,97.96,95.96,100.0,100.0
97.22,94.12,98.98,97.94,96.51,95.77,93.94,96.97,100.0,98.97,97.96,95.96,100.0,100.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.22,94.12,98.98,97.94,96.51,95.77,93.94,96.97,100.0,98.97,97.96,95.96,100.0,100.0
